Diner    	Arrival 	Time of Seating 	      Table ID		Cook ID	Food Served		Time of Leaving
0        	1               	1               	0       	1      	14               	44
1        	2               	2               	1       	0      	31               	61
2        	3               	3               	2       	2      	76               	106
3        	4               	4               	3       	3      	41               	71
4        	5               	5               	4       	0      	51               	81
5        	6               	6               	5       	1      	61               	91
6        	7               	44               	0       	3      	66               	96
7        	41               	61               	1       	0      	86               	116
8        	42               	71               	3       	1      	116               	146
9        	43               	81               	4       	3      	96               	126
10        	44               	91               	5       	2      	146               	176
11        	45               	96               	0       	0      	126               	156
12        	46               	106               	2       	3      	136               	166
13        	47               	116               	1       	1      	161               	191
14        	81               	126               	4       	0      	156               	186
15        	82               	146               	3       	3      	181               	211
16        	83               	156               	0       	2      	201               	231
17        	84               	166               	2       	0      	191               	221
18        	85               	176               	5       	1      	221               	251
19        	86               	186               	4       	3      	211               	241
