Diner    	Arrival 	Time of Seating 	      Table ID		Cook ID	Food Served		Time of Leaving
0        	20               	20               	0       	0      	33               	63
1        	30               	30               	1       	1      	51               	81
2        	31               	31               	2       	1      	70               	100
3        	32               	32               	3       	0      	60               	90
4        	33               	63               	0       	0      	80               	110
5        	60               	81               	1       	1      	94               	124
6        	70               	90               	3       	0      	111               	141
7        	71               	100               	2       	1      	121               	151
8        	72               	110               	0       	0      	131               	161
9        	73               	124               	1       	1      	141               	171
