Diner    	Arrival 	Time of Seating 	      Table ID		Cook ID	Food Served		Time of Leaving
0        	1               	1               	0       	3      	14               	44
1        	2               	2               	1       	0      	31               	61
2        	3               	3               	2       	2      	41               	71
3        	4               	4               	3       	1      	71               	101
4        	5               	5               	4       	0      	51               	81
5        	6               	6               	5       	3      	61               	91
6        	7               	44               	0       	2      	76               	106
7        	41               	61               	1       	0      	116               	146
8        	42               	71               	2       	3      	96               	126
9        	43               	81               	4       	1      	136               	166
10        	44               	91               	5       	3      	106               	136
11        	45               	101               	3       	3      	126               	156
12        	46               	106               	0       	2      	221               	251
13        	47               	126               	2       	0      	141               	171
14        	81               	136               	5       	3      	151               	181
15        	82               	146               	1       	1      	171               	201
16        	83               	156               	3       	0      	191               	221
17        	84               	166               	4       	1      	181               	211
18        	85               	171               	2       	1      	211               	241
19        	86               	181               	5       	3      	201               	231
